Incorrect Tokenized,Correct Tokenized
මම ‌කරමි පාඩම්,මම පාඩම්‌ කරමි
ගුරුවරයා ‌ කැඳවයි සිසුන්,ගුරුවරයා සිසුන්‌ කැඳවයි
කුමාරි ඇවිද්දාය උයනේ,කුමාරි උයනේ ඇවිද්දා ය
රට රණවිරුවෝ රකිති,රණවිරුවෝ රට රකිති
කොටියා විසින්‌ මැරෙයි මුව,කොටියා විසින්‌ මුව මැරෙයි
මිනිසුන්‌ විසින්‌ ‌ කැපෙයි ගස්,මිනිසුන්‌ විසින්‌ ගස්‌ කැපෙයි
කම්කරුවා විසින්‌ ගොඩ නැගේ මාර්ග,කම්කරුවා විසින්‌ මාර්ග ගොඩ නැගේ
පාඩම් සිසුවා ‌ කරයි,සිසුවා පාඩම්‌ කරයි
සිසුවෝ ‌කරති පාඩම්,සිසුවෝ පාඩම්‌ කරති
හැකිද ඔබට ඉංග්‍රීසි කතා කළ ?,ඔබට ඉංග්‍රීසි කතා කළ හැකිද ?
මෙයට දුරද කොතරම් ?,මෙයට කොතරම් දුරද ?
දැන් කීයද වෙලාව ?,දැන් වෙලාව කීයද ?
මෙහි කීයද මිල ?,මෙහි මිල කීයද ?
ඔබේ මොකද්ද නම ?,ඔබේ නම මොකද්ද ?
ඔබ කොහෙද ඉන්නෙ ?,ඔබ ඉන්නෙ කොහෙද ?
ඔයාගේ මොකක්ද නම ?,ඔයාගේ නම මොකක්ද
මට පුළුවන් පිළිගන්න,මට පිළිගන්න පුළුවන්
ඇය කළා එකතු,ඇය එකතු කළා
අපි පිළිගත්තා එය,අපි එය පිළිගත්තා
ඔවුන් දුන්නා උපදෙස්,ඔවුන් උපදෙස් දුන්නා
මට පුළුවන් පිළිගන්න,මට පිළිගන්න පුළුවන්
ඇය දෙනවා ඉඩ,ඇය ඉඩ දෙනවා
අපි කරනවා නිවේදනය,අපි නිවේදනය කරනවා
මට පුළුවන් ගන්න,මට ගන්න පුළුවන්
ඇය ඉන්නවා අද,ඇය අද ඉන්නවා
ඔවුන් කළා පිළිවෙළ,ඔවුන් පිළිවෙළ කළා
මට පුළුවන් එන්න,මට එන්න පුළුවන්
ඇයට පුළුවන් අහන්න,ඇයට අහන්න පුළුවන්
ඇය අමුණනවා එය,ඇය එය අමුණනවා
අපි ඔවුන්ට දෙනවා පහර,අපි ඔවුන්ට පහර දෙනවා
ඔවුන් මඟහරිනවා ඇයව,ඔවුන් ඇයව මඟහරිනවා
මට පුළුවන් පිසින්න,මට පිසින්න පුළුවන්
ඇය වගෙයි ඔහු,ඇය ඔහු වගෙයි
අපි කරනවා පරාජය,අපි පරාජය කරනවා
සතුටට ඔවුන් පත්වුනා,ඔවුන් සතුටට පත්වුනා
මට පුළුවන් අරඹන්න,මට අරඹන්න පුළුවන්
අපි ණයට ගත්තා මුදල්,අපි මුදල් ණයට ගත්තා
ඔවුන් ගන්නවා හුස්ම,ඔවුන් හුස්ම ගන්නවා
මට පුළුවන් එන්න,මට එන්න පුළුවන්
මට පුළුවන් සාදන්න,මට සාදන්න පුළුවන්
ආහාර ඇය මිලටගන්නවා,ඇය ආහාර මිලට ගන්නවා
අපි කරනවා ගණනය,අපි ගණනය කරනවා
රැගෙන ඔවුන් යනවා,ඔවුන්රැගෙන යනවා
වංචා ඔවුන් කරන්නෙනෑ,ඔවුන් වංචා කරන්නෙ නෑ
ඇය තෝරනවා ඔහුව,ඇය ඔහුව තෝරනවා
අපි වහනවා එය,අපි එය වහනවා
මෙහෙ ඔහු එනවා,ඔහු මෙහෙ එනවා
මට පුළුවන් සසඳන්න,මට සසඳන්න පුළුවන්
තරඟ ඇය කරනවා,ඇය තරඟ කරනවා
පැමිණිලි අපි කරනවා,අපි පැමිණිලි කරනවා
ඔවුන් දිගටම කළා කියවීම,ඔවුන් කියවීම දිගටම කළා
ඔහු ඇඬුවා ගැන,ඔහු ගැන ඇඬුවා
තීරණය මට කරන්න පුළුවන්,මට තීරණය කරන්න පුළුවන්
ඇය කළා විස්තර,ඇය විස්තර කළා
අපි වුනේනෑ එකඟ,අපි එකඟ වුනේ නෑ
අතුරුදහන් ඔවුන් වුනා,ඔවුන් අතුරුදහන් වුනා
එය මම සොයාගත්තා,මම එය සොයාගත්තා
එයට ඇය කැමතිනෑ,ඇය එයට කැමතිනෑ
අපි කරනවා එය,අපි එය කරනවා
ඔවුන් දකිනවා සිහින,ඔවුන් සිහින දකිනවා
මම උපයනවා මුදල්,මම මුදල් උපයනවා
ඔහු කනවා සෑහෙන්න,ඔහු සෑහෙන්න කනවා
අපි රසවින්ඳා එය,අපි එය රසවින්ඳා
මෙහෙ ඔවුන් ආවා,ඔවුන් මෙහෙ ආවා
පළා ඔහු ගියා,ඔහු පළා ගියා
මට පුළුවන් කරන්න,මට කරන්න පුළුවන්
ඇයටත් හැඟෙනවා එය,ඇයටත් එය හැඟෙනවා
එහෙන් අපි පළාගියා,අපි එහෙන් පළාගියා
ඔවුන් වෙනවා ගුවන්ගත,ඔවුන් ගුවන්ගත වෙනවා
මට පුළුවන් අනුගමනය කරන්න,මට අනුගමනය කරන්න පුළුවන්
ඇය කළා අමතක,ඇය අමතක කළා
අපි දෙනවා සමාව,අපි සමාව දෙනවා
මට ඇයට පුළුවන් දෙන්න,මට ඇයට දෙන්න පුළුවන්
ඇය යනවා එහෙ,ඇය එහෙ යනවා
අපි ඔවුන්ට කිව්වා ආයුබෝවන්,අපි ඔවුන්ට ආයුබෝවන් කිව්වා
මම කරනවා පිළිකුල්,මම පිළිකුල් කරනවා
එය මට ඇහෙනවා,මට එය ඇහෙනවා
ඇය මවාගන්නවා සිතෙහි,ඇය සිතෙහි මවාගන්නවා
අපි ඔවුන්ට කළා ආරාධනා,අපි ඔවුන්ට ආරාධනා කළා
මම දන්නවා ඔහුව,මම ඔහුව දන්නවා
ඇය ඉගෙනගත්තා එය,ඇය එය ඉගෙනගත්තා
අපි පිටවෙනවා දැන්,අපි දැන් පිටවෙනවා
ඔවුහු කිව්වා බොරු,ඔවුහු බොරු කිව්වා
මට පුළුවන් සවන්දෙන්න,මට සවන්දෙන්න පුළුවන්
ඇය කරගත්තා අහිමි,ඇය අහිමි කරගත්තා
අපි සෑදුවා ඊයේ,අපි ඊයේ සෑදුවා
ඔවුන් හමුවුනා ඔහුව,ඔවුන් ඔහුව හමුවුනා
මම ලියනවා වැරදි,මම වැරදි ලියනවා
මම සැමවිටම කරනවා යාච්ඤා,මම සැමවිටම යාච්ඤා කරනවා
ඇය තෝරාගන්නවා එය,ඇය එය තෝරාගන්නවා
අපි කළා ආරක්ෂා,අපි ආරක්ෂා කළා
ඔවුහු කරාවි දඬුවම්,ඔවුහු දඬුවම් කරාවි
මට පුළුවන් තියන්න,මට තියන්න පුළුවන්
ඇය කියවනවා එය,ඇය එය කියවනවා
අපිට ලැබුණා එය,අපිට එය ලැබුණා
ඔවුන් කරනවා ප්‍රතික්ෂේප,ඔවුන් ප්‍රතික්ෂේප කරනවා
මට මතකයි එය,මට එය මතකයි
නැවත ඇය කියනවා,ඇය නැවත කියනවා
අපිට පෙනෙනවා එය,අපිට එය පෙනෙනවා
එය ඔවුන් විකුණනවා,ඔවුන් එය විකුණනවා
මම යැව්වා ඊයේ,මම ඊයේ යැව්වා
රැවුල ඔහු බෑවා,ඔහු රැවුල බෑවා
එය සැණින් ඇකිළුනා,එය සැණින් ඇකිළුනා
අපි කළා ගායනා,අපි ගායනා කළා
ඔවුන් ඉඳත්තා එතන,ඔවුන් එතන ඉඳත්තා
මට පුළුවන් කියන්න,මට කියන්න පුළුවන්
ඇය කරනවා වියදම්,ඇය වියදම් කරනවා
අපි වින්ඳා දුක්,අපි දුක් වින්ඳා
යෝජනා ඔවුන් කරනවා,ඔවුන් යෝජනා කරනවා
පුදුම මම කළා,මම පුදුම කළා
ඇය ගත්තා එය,ඇය එය ගත්තා
එය අපි උගන්වනවා,අපි එය උගන්වනවා
ඔවුන් කීව්වා අපට,ඔවුන් අපට කීව්වා
ඇය කළා ස්තූති,ඇය ස්තූති කළා
මට පුළුවන් සිතා බලන්න,මට සිතා බලන්න පුළුවන්
ඇය කළා විසි,ඇය විසි කළා
අපි තේරුම්ගන්නවා එය,අපි එය තේරුම්ගන්නවා
එය ඔවුන්ට අවශ්‍යයි,ඔවුන්ට එය අවශ්‍යයි
මට පුළුවන් ඇඳපැළඳ ගන්න,මට ඇඳපැළඳ ගන්න පුළුවන්
ඇය ලියනවා එය,ඇය එය ලියනවා
අපි කරනවා කතා,අපි කතා කරනවා
එය ගාව ඔවුන්,එය ඔවුන් ගාව
මම නැරඹුවා එය,මම එය නැරඹුවා
කතා මම කරාවි,මම කතා කරාවි
ඔහු ගත්තා මිලට,ඔහු මිලට ගත්තා
අපි කළා නිමා,අපි නිමා කළා
මට හැක පිළිගත,මට පිළිගත හැක
ඇය කළාය එකතු,ඇය එකතු කළාය
අපි පිළිගනිමු එය,අපි එය පිළිගනිමු
ඔවුහු දුන්නෝය උපදෙස්,ඔවුහු උපදෙස් දුන්නෝය
මට වියහැක එකඟ,මට එකඟ වියහැක
ඇය දෙයි ඉඩ,ඇය ඉඩ දෙයි
අපි කරමු නිවේදනය,අපි නිවේදනය කරමු
මට ඉල්ලියහැක සමාව,මට සමාව ඉල්ලියහැක
ඇය අද සිටියි,ඇය අද සිටියි
ඔවුහු කළෝය පිළියෙළ,ඔවුහු පිළියෙළ කළෝය
මට ආහැක හෙට,මට හෙට ආහැක
ඇයට හැක ඇසිය,ඇයට ඇසිය හැක
ඇය අමුණයි එය,ඇය එය අමුණයි
අපි පහරදෙමු ඔවුන්ට,අපි ඔවුන්ට පහරදෙමු
ඔවුහු මඟහැරියෝය ඇයව,ඔවුහු ඇයව මඟහැරියෝය
පිසිය මට හැක,මට පිසිය හැක
ඇය වැනිය ඔහු,ඇය ඔහු වැනිය
අපි කරමු පරාජය,අපි පරාජය කරමු
ඔවුහු පත්විය සතුටට,ඔවුහු සතුටට පත්විය
මට හැක ඇරඹිය,මට ඇරඹිය හැක
අපි මුදල් ණයට ගත්තෙමු,අපි මුදල් ණයට ගත්තෙමු
ඔවුහු ගනිති හුස්ම,ඔවුහු හුස්ම ගනිති
මට රැගෙන ආහැක,මට රැගෙන ආ හැක
මට හැක සෑදිය,මට සෑදිය හැක
ආහාර ඇය මිලට ගනියි,ඇය ආහාර මිලට ගනියි
ගණනය අපි කරමු,අපි ගණනය කරමු
ඔවුහු යති රැගෙන,ඔවුහු රැගෙන යති
ඔවුන් නොකරයි වංචා,ඔවුන් වංචා නොකරයි
ඇය තෝරයි ඔහුව,ඇය ඔහුව තෝරයි
අපි වසමු එය,අපි එය වසමු
ඔහු එයි මෙහි,ඔහු මෙහි එයි
මට හැක සැසඳිය,මට සැසඳිය හැක
ඇය කරයි තරඟ,ඇය තරඟ කරයි
අපි කරමු පැමිණිලි,අපි පැමිණිලි කරමු
ඔවුහු කළෝය දිගටම,ඔවුහු දිගටම කළෝය
දිගටම ඔහු ඇඬුවේය,ඔහු දිගටම ඇඬුවේය
මට දැන් කළහැක,මට දැන් කළහැක
ඇය කළාය විස්තර,ඇය විස්තර කළාය
අපි නොවීමු එකඟ,අපි එකඟ නොවීමු
ඔවුහු විය අතුරුදහන්,ඔවුහු අතුරුදහන් විය
එය මම සොයාගත්තෙමි,මම එය සොයාගත්තෙමි
ඇය අකැමතියි එයට,ඇය එයට අකැමතියි
අපි කරමු එය,අපි එය කරමු
ඔවුන් දකිති සිහින,ඔවුන් සිහින දකිති
මම උපයමි මුදල්,මම මුදල් උපයමි
ඔහු කයි සෑහෙන්න,ඔහු සෑහෙන්න කයි
අපි රසවින්ඳෙමු එය,අපි එය රසවින්ඳෙමු
ඔවුන් ආවෝය මෙහි,ඔවුන් මෙහි ආවෝය
ඔහු ගියේය පළා,ඔහු පළා ගියේය
මට කළහැක පැහැදිලි,මට පැහැදිලි කළහැක
ඇයට හැඟෙයි එය,ඇයට එය හැඟෙයි
අපි ගියෙමු පළා,අපි පළා ගියෙමු
ඔවුහු වන්නෝය ගුවන්ගත,ඔවුහු ගුවන්ගත වන්නෝය
මට කළහැක අනුගමනය,මට අනුගමනය කළහැක
ඇය කළාය අමතක,ඇය අමතක කළාය
අපි දෙමු සමාව,අපි සමාව දෙමු
මට ඇයට දියහැක,මට ඇයට දියහැක
ඇය යයි එහෙ,ඇය එහෙ යයි
ආයුබෝවන් අපි කීවෙමු,අපි ආයුබෝවන් කීවෙමු
මම කරමි පිළිකුල්,මම පිළිකුල් කරමි
මට ඇසෙයි එය,මට එය ඇසෙයි
ඇය ගනියි මවා,ඇය මවා ගනියි
අපි කළෙමු ආරාධනා,අපි ආරාධනා කළෙමු
මම දනිමි ඔහුව,මම ඔහුව දනිමි
ඇය ගත්තාය ඉගෙන,ඇය ඉගෙන ගත්තාය
අපි පිටවෙමු දැන්,අපි දැන් පිටවෙමු
ඔවුහු කීවෝය බොරු,ඔවුහු බොරු කීවෝය
මට හැක සවන්දිය,මට සවන්දිය හැක
ඇය කරගත්තාය අහිමි,ඇය අහිමි කරගත්තාය
අපි සෑදුවෙමු එය,අපි එය සෑදුවෙමු
ඔවුහු හමුවූවෝය ඔහුව,ඔවුහු ඔහුව හමුවූවෝය
මම ලෙස ලියමි වැරදි,මම වැරදි ලෙස ලියමි
මම කරමි යාච්ඤා,මම යාච්ඤා කරමි
ඇය තෝරාගනියි එය,ඇය එය තෝරාගනියි
අපි කළෙමු ආරක්ෂා,අපි ආරක්ෂා කළෙමු
ඔවුහු කරයි දඬුවම්,ඔවුහු දඬුවම් කරයි
මට හැක තැබිය,මට තැබිය හැක
ඇය කියවයි එය,ඇය එය කියවයි
අපිට ලැබුණි එය,අපිට එය ලැබුණි
ඔවුහු කරති ප්‍රතික්ෂේප,ඔවුහු ප්‍රතික්ෂේප කරති
මට මතකයි එය,මට එය මතකයි
ඇය කියයි නැවත,ඇය නැවත කියයි
අපිට පෙනෙයි එය,අපිට එය පෙනෙයි
ඔවුන් විකුණති එය,ඔවුන් එය විකුණති
මම යැව්වෙමි ඊයේ,මම ඊයේ යැව්වෙමි
ඔහු බෑවේය රැවුල,ඔහු රැවුල බෑවේය
එය ඇකිළුනේය සැණින්,එය සැණින් ඇකිළුනේය
අපි කරන්නෙමු ගායනා,අපි ගායනා කරන්නෙමු
ඔවුන් ඉඳත්තෝය එතන,ඔවුන් එතන ඉඳත්තෝය
මට හැක කිව,මට කිව හැක
ඇය කරයි වියදම්,ඇය වියදම් කරයි
අපි වින්ඳෙමු දුක්,අපි දුක් වින්ඳෙමු
ඔවුහු කරති යෝජනා,ඔවුහු යෝජනා කරති
මම කළෙමි පුදුම,මම පුදුම කළෙමි
ඇය ගත්තාය එය,ඇය එය ගත්තාය
අපි උගන්වමු එය,අපි එය උගන්වමු
අපට ඔවුන් කීවෝය,ඔවුන් අපට කීවෝය
ස්තූතියි ඇය කළාය,ඇය ස්තූතියි කළාය
සිතා මට බැලියහැක,මට සිතා බැලියහැක
විසි ඇය කළාය,ඇය විසි කළාය
එය අපි තේරුම්ගනිමු,අපි එය තේරුම්ගනිමු
ඔවුන්ට අවශ්‍යයි එය,ඔවුන්ට එය අවශ්‍යයි
මට ගතහැක ඇඳපැළඳ,මට ඇඳපැළඳ ගතහැක
එය ඇය ලියයි,ඇය එය ලියයි
අපි කරමු කතා,අපි කතා කරමු
එය සතුයි ඔවුන්,එය ඔවුන් සතුයි
එය මම නැරඹුවෙමි,මම එය නැරඹුවෙමි
කතා මම කරන්නෙමි,මම කතා කරන්නෙමි
ඔහු ගත්තේය මිලට,ඔහු මිලට ගත්තේය
අපි කළෙමු නිමා,අපි නිමා කළෙමු
යන්නෙ ඔහු කොහිද ?,ඔහු යන්නෙ කොහිද ?
මේ මොකද්ද මල ?,මේ මල මොකද්ද ?
දුක්වන්නේ ඔබ ඇයි ?,ඔබ දුක්වන්නේ ඇයි ?
කැමති ඔබ කොහොමද ?,ඔබ කැමති කොහොමද ?
මට පුළුවන්ද එන්න ?,මට එන්න පුළුවන්ද ?
ඔහු කොහොම නිදිද ?,ඔහු කොහොම නිදිද ?
ඔබ දන්නවද මාව ?,ඔබ මාව දන්නවද ?
මගේ තිබෙනවද පොත ?,මගේ පොත තිබෙනවද ?
කොතරම් එය විශාලද ?,එය කොතරම් විශාලද ?
ඔබට සහය හැකිද වීමට ?,ඔබට සහය වීමට හැකිද ?
මට සහය හැකිද වීමට ?,මට සහය වීමට හැකිද ?
ඔබට හැකිද කතාකළ ?,ඔබට කතාකළ හැකිද ?
දුරද මෙයට කොතරම් ?,මෙයට කොතරම් දුරද ?
දැන් කීයද වෙලාව ?,දැන් වෙලාව කීයද ?
මෙහි කීයද මිල ?,මෙහි මිල කීයද ?
මොකද්ද ඔබේ නම ?,ඔබේ නම මොකද්ද ?
ඔබ කොහෙද ඉන්නෙ ?,ඔබ ඉන්නෙ කොහෙද ?
ඔහු නොමැත මෙහි,ඔහු මෙහි නොමැත
මෙය නොවෙයි මගේ,මෙය මගේ නොවෙයි
මම නොකරමි කතා,මම කතා නොකරමි
මම නොලියමි පොත,මම පොත නොලියමි
රිය මම නොපදවමි,මම රිය නොපදවමි
ආදරය මම නොකරමි,මම ආදරය නොකරමි
පොත මම නොදෙමි,මම පොත නොදෙමි
මම නොවෙමි සිනා,මම සිනා නොවෙමි
මම නොගනිමි පොත,මම පොත නොගනිමි
කතා ඔහු නොකරයි,ඔහු කතා නොකරයි
පොත මහු නොලියයි,මහු පොත නොලියයි
ඔහු නොපදවයි රිය,ඔහු රිය නොපදවයි
ආදරය ඔහු නොකරයි,ඔහු ආදරය නොකරයි
පොත ඔහු නොදෙයි,ඔහු පොත නොදෙයි
සිනා ඔහු නොවෙයි,ඔහු සිනා නොවෙයි
ඔහු නොගනියි පොත,ඔහු පොත නොගනියි
අපි නොකරමු කතා,අපි කතා නොකරමු
පොත අපි නොලියමු,අපි පොත නොලියමු
අපි නොපදවමු රිය,අපි රිය නොපදවමු
ආදරය අපි නොකරමු,අපි ආදරය නොකරමු
අපි නොදෙමු පොත,අපි පොත නොදෙමු
සිනා අපි නොවෙමු,අපි සිනා නොවෙමු
අපි නොගනිමු,අපි නොගනිමු
මම කරමි කතා,මම කතා කරමි
කතා ඔබ කරන්නෙහි,ඔබ කතා කරන්නෙහි
ඔහු කරයි කතා,ඔහු කතා කරයි
කතා ඇය කරයි,ඇය කතා කරයි
අපි කරමු කතා,අපි කතා කරමු
කතා ඔවුහු කරති,ඔවුහු කතා කරති
මම වැරදිද හරි ?,මම හරි වැරදිද ?
ඔහු වැඩිමල්ද බාල ?,ඔහු බාල වැඩිමල්ද ?
විභාගය පරණද අලුත් ?,විභාගය අලුත් පරණද ?
මේක පොතක්ද පරණ ?,මේක පරණ පොතක්ද ?
ගණන් මේක වැඩියි,මේක ගණන් වැඩියි
මෙහෙට ඔයා කැමතිද ?,ඔයා මෙහෙට කැමතිද ?
